bransje,navn,orgnr,adresse,poststed,stiftet,alder
Restaurant,EUROPAKAFFE AS,921198256,"c/o Erine Amundal, Vattenbergvegen 2",3717 SKIEN,2018-06-30,8
Restaurant,EVENT NORWAY AS,911676036,Odins gate 5B,0266 OSLO,2013-03-05,13
Restaurant,EVINO MASAN AS,916155158,Olav Kyrres gate 2,4307 SANDNES,2015-09-20,11
Restaurant,EVITA KAFEDRIFT AS,925688533,Lilleengveien 8,1523 MOSS,2020-09-08,6
Restaurant,FAGERVANN AS,928697851,Fredensborgveien 17,0177 OSLO,2022-01-25,4
Restaurant,FALSKE REKERS AKSJESELSKAP,926877933,Nye Sandviksveien 73D,5032 BERGEN,2021-02-09,5
Restaurant,FARSUND FOLKEPUB AS,915837573,Strandgaten 8,4550 FARSUND,2015-08-19,11
Restaurant,FELLINI BAR AS,816343402,Claude Monets alle 24,1338 SANDVIKA,2015-11-16,11
Restaurant,FESTIVITETEN BAR & SCENE AS,919738561,Strandgata 23,2317 HAMAR,2017-10-05,9
Restaurant,FIRO RESTAURANTDRIFT AS,998992192,Langbryggen 3,4841 ARENDAL,2012-09-25,14
Restaurant,FJELL PØBBEN AS,921326459,Vollan 3,6300 ÅNDALSNES,2018-08-16,8
Restaurant,FJORD GUIDING AS,923101349,Hantveit 257,5960 DALSØYRA,2019-06-25,7
Restaurant,FJØRAPUBBEN AS,934605195,Almenningen 4,6856 SOGNDAL,2024-11-19,2
Restaurant,FLEMMINGEN AS,921010621,Nykirkeallmenningen 23,5005 BERGEN,2018-03-17,8
Restaurant,FLYTENDE INVEST AS,928254038,"c/o Shen Yun Liu, Rubinvegen 11",9022 KROKELVDALEN,2021-11-12,5
Restaurant,FOLAT KAFFEBAR,920599222,Fetveien 84,2007 KJELLER,2018-03-09,8
Restaurant,FOLKETS PUB FLATEBY AS,927364611,Bakkeveien 64,1911 FLATEBY,2021-04-30,5
Restaurant,FOSSEN BAR & PUB AS,819271992,Arnemannsveien 3,3510 HØNEFOSS,2017-06-16,9
Restaurant,FREDRIKSTAD RESTAURANTDRIFT AS,916034962,Værstetorvet 1,1671 KRÅKERØY,2015-08-10,11
Restaurant,FREYJA VIN AS,822261442,"c/o Vilhelm Rumohr, Åsen 2",6855 FRØNNINGEN,2019-02-05,7
Restaurant,FRIDTJOF OSLO AS,929588762,"c/o Viego Regnskap AS, Markens gate 5",4610 KRISTIANSAND S,2022-06-13,4
Restaurant,FROGNERVEIEN 6 AS,913355938,Frognerveien 6,0257 OSLO,2014-03-06,12
Restaurant,FUN BAR AS,934540697,Sparebanksgaten 2,5017 BERGEN,2024-11-01,2
Restaurant,FUN PUB TROMSØ AS,918030557,Grønnegata 83,9008 TROMSØ,2016-10-27,10
Restaurant,FYRHUSET KUBA DRIFT AS,922323011,"c/o Fyrhuset Kuba, Maridalsveien 19",0178 OSLO,2019-02-19,7
Restaurant,GALEIEN DRIFT AS,921187386,Hundvågveien 27,4085 HUNDVÅG,2018-07-02,8
Restaurant,GAPET AS,922141541,Bjerregaards gate 29C,0172 OSLO,2019-01-08,7
Restaurant,GEMENE HOP AS,927905868,Vulkan 5,0178 OSLO,2021-09-22,5
Restaurant,GIPSY AS,997026446,Carl Johans gate 3,7010 TRONDHEIM,2011-05-08,15
Restaurant,GLAD AS,923206795,Øvre Holmegate 11,4006 STAVANGER,2019-07-09,7
Restaurant,GLEDESHUSET DRIFT AS,918775102,Strandgata 1B,3513 HØNEFOSS,2017-02-01,9
Restaurant,GOLDEN TIGER AS,934196139,Kongens gate 37,3211 SANDEFJORD,2024-09-13,2
Restaurant,GPUB AS,934801733,Sentrumsvegen 68,3550 GOL,2024-12-20,2
Restaurant,GRAFF TAPROOM AS,821018722,Storgata 101,9008 TROMSØ,2018-05-11,8
Restaurant,GTAVHL AS,929375351,"c/o Andrè Vestvoll, Joplassvegen 2B",7603 LEVANGER,2022-05-13,4
Restaurant,GUL SNØ AS,927613026,Nordre Kongsvei 45,1654 SELLEBAKK,2021-07-31,5
Restaurant,GULLKORN ØLBAR AS,913622707,Håkons gate 15,2317 HAMAR,2014-04-02,12
Restaurant,GUNNAR & FRIDTJOF AS,927401096,Mariboes gate 4,0183 OSLO,2021-06-10,5
Restaurant,GVINO AS,930230898,Sjølystveien 74,4610 KRISTIANSAND S,2022-10-25,4
Restaurant,GØTT PØBB AS,912977218,Stasjonsvegen 1,3540 NESBYEN,2013-12-06,13
Restaurant,HA.N. AS,925885916,Seiersten Sentrum 3,1443 DRØBAK,2020-10-06,6
Restaurant,HANS G JØRGENSEN AS,918279938,Bergegata 3,3830 ULEFOSS,2016-12-12,10
Restaurant,HAPPY BOBA AS,922623376,Myragutua 1A,2022 GJERDRUM,2019-03-07,7
Restaurant,HASLE LINIE GASTROPUB AS,912256014,Bøkkerveien 4,0579 OSLO,2013-05-02,13
Restaurant,HAUKERØD PUBEN AS,917511241,Moveien 118,3221 SANDEFJORD,2016-07-11,10
Restaurant,HEIDI'S BIER BAR OSLO AS,915807208,"c/o Viego Regnskap AS, Markens gate 5",4610 KRISTIANSAND S,2015-08-13,11
Restaurant,HEISTADPUB'N AS,930747629,Fjordgløttvegen 1,3941 PORSGRUNN,2023-01-01,3
Restaurant,HEM BAR AS,917537461,Teatergaten 14,5010 BERGEN,2016-08-05,10
Restaurant,HILLS BJORLI AS,916665334,Bjorlivegen 7,2669 BJORLI,2016-01-22,10
Restaurant,HILLS INVESTMENTS AS,929685733,Krakenesveien 229,9154 STORSLETT,2022-08-01,4
Restaurant,HJØRNET BARDRIFT AS,922884854,Storgata 7,6509 KRISTIANSUND N,2019-05-22,7
Restaurant,HJØRNET PØBB DA,913361970,Storgata 49,3256 LARVIK,2014-03-01,12
Restaurant,HORTEN BØRS AS,933260720,Falsens gate 11,3187 HORTEN,2024-02-22,2
Restaurant,HOS FLYVERN PUB AS,921984790,Langgaten 21A,3080 HOLMESTRAND,2018-11-20,8
Restaurant,HOUSE OF DRANKS AS,934219708,Rostockgata 42,0194 OSLO,2024-09-19,2
Restaurant,HUMBAR AS,922796254,"c/o Anders Berling, Ådalsgata 10",3510 HØNEFOSS,2019-05-23,7
Restaurant,HUMLEN AS,914791839,Fjøsangerveien 30,5053 BERGEN,2014-12-05,12
Restaurant,HUNDHOLMEN AS,916536151,Storgata 8,8006 BODØ,2015-12-10,11
Restaurant,HYPOGEUM AS,924345047,Karl Johans gate 45,0162 OSLO,2019-12-11,7
Restaurant,IL CASOLARE HALDEN AS,930727385,Båstadlundveien 46E,1781 HALDEN,2023-01-09,3
Restaurant,ILLE AS,912667383,Henrich Gerners gate 10A,1530 MOSS,2013-10-28,13
Restaurant,INCIPIT AS,933708713,Sygnasjå 1,4337 SANDNES,2024-05-22,2
Restaurant,INSIDE VOSS AS,999615783,Uttrågata 42,5700 VOSS,2013-01-28,13
Restaurant,JANNE HANSEN PUB OG CATERING AS,929487834,Strandaveien 174,9441 FJELLDAL,2022-06-20,4
Restaurant,JAVEL OSLO AS,928870812,"c/o Viego Regnskap AS, Markens gate 5",4610 KRISTIANSAND S,2022-01-07,4
Restaurant,JENNY AS,913574419,"c/o Viego Regnskap AS, Markens gate 5",4610 KRISTIANSAND S,2014-04-08,12
Restaurant,JGL AS,914843928,Trondheimsvegen - Kløfta 84,2040 KLØFTA,2014-12-22,12
Restaurant,JIBBEN BAR OG SCENE AS,931095439,Gate 1 89,6700 MÅLØY,2023-03-05,3
Restaurant,JMC VIRKSOMHET AS,930813257,"c/o Jon P. Mørk, Øvre Keisemark 24A",3183 HORTEN,2023-01-23,3
Restaurant,JOSS PUB AS,933060950,Storgata 21,6993 HØYANGER,2024-02-08,2
Restaurant,JOTUNHEIMEN TRONDHEIM AS,928594548,Kjøpmannsgata 63,7011 TRONDHEIM,2021-12-16,5
Restaurant,JTF AS,916582382,Tmv-Kaia 9,7042 TRONDHEIM,2015-12-17,11
Restaurant,JUNGEL AS,932165414,Fjordgata 23,7010 TRONDHEIM,2023-09-06,3
Restaurant,K8 COCKTAILBAR AS,933065065,Kirkegata 8,7713 STEINKJER,2024-01-24,2
Restaurant,KAFFEBAR AS,920146732,Rustadvegen 120,2618 LILLEHAMMER,2017-12-06,9
